Addresses,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"100 WESTWOOD CIR, Charlottesville, VA",38.043437,-78.480919,1,rooftop,100,"Westwood Cir",,,Charlottesville,VA,"Albemarle County",22903,US,"City of Charlottesville"
"2500 JEFFERSON PARK AVE, Charlottesville, VA",38.020243,-78.514161,1,rooftop,2500,"Jefferson Park Ave",,,Charlottesville,VA,"Albemarle County",22903,US,"City of Charlottesville"
"1800 UNIVERSITY CIR, Charlottesville, VA",38.041817,-78.501861,1,range_interpolation,1800,"University Cir",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"800 ORANGEDALE AVE, Charlottesville, VA",38.021523,-78.497497,1,rooftop,800,"Orangedale Ave",,,Charlottesville,VA,"Albemarle County",22903,US,"City of Charlottesville"
"900 PARK ST, Charlottesville, VA",38.040447,-78.471766,1,range_interpolation,900,"Park St",,,Charlottesville,VA,"Albemarle County",22901,US,"TIGER/Line® dataset from the US Census Bureau"
"100 BAYLOR LN, Charlottesville, VA",38.018886,-78.492384,1,rooftop,100,"Baylor Ln",,,Charlottesville,VA,"Albemarle County",22902,US,"City of Charlottesville"
"600 MASON ST, Charlottesville, VA",38.019716,-78.465579,1,rooftop,600,"Mason St",,,Charlottesville,VA,"Albemarle County",22902,US,"City of Charlottesville"
"1100 EMMET ST N, Charlottesville, VA",38.051498,-78.5002,1,range_interpolation,1100,"Emmet St N",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"200 CARLTON RD, Charlottesville, VA",38.02338,-78.468643,1,rooftop,200,"Carlton Rd",,,Charlottesville,VA,"Albemarle County",22902,US,"City of Charlottesville"
"200 HARTMANS MILL RD, Charlottesville, VA",38.019704,-78.488399,1,rooftop,200,"Hartman's Mill Rd",,,Charlottesville,VA,"Albemarle County",22902,US,"City of Charlottesville"
"100 E MAIN ST, Charlottesville, VA",38.030363,-78.481565,1,rooftop,100,"E Main St",,,Charlottesville,VA,"Albemarle County",22901,US,"City of Charlottesville"
"100 W MARKET ST, Charlottesville, VA",38.031682,-78.481145,0.8,range_interpolation,100,"Market St",,,Charlottesville,VA,"Albemarle County",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"300 VALLEY RD EXT, Charlottesville, VA",37.798844,-78.49535,0.3,rooftop,300,"Valley St",,,Scottsville,VA,"Albemarle County",24590,US,"Virginia Geographic Information Network (VGIN)"
"800 CHERRY AVE, Charlottesville, VA",38.028394,-78.4925,1,range_interpolation,800,"Cherry Ave",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"2200 JEFFERSON PARK AVE, Charlottesville, VA",38.025169,-78.514956,1,range_interpolation,2200,"Jefferson Park Ave",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"900 ALTAVISTA AVE, Charlottesville, VA",38.018719,-78.478817,1,rooftop,900,"Altavista Ave",,,Charlottesville,VA,"Albemarle County",22902,US,"City of Charlottesville"
