"","X","Longitude","Latitude","event_date","sport","Opponent","home","win","crime_type","Crime Category"
"96",478,-78.515449,38.037687,"2020-02-11","Basketball","Notre Dame",FALSE,TRUE,"Comm Relations Initiative - CRI","Non-criminal report"
"97",479,-78.50005,38.014495,"2020-02-11","Basketball","Notre Dame",FALSE,TRUE,"Larceny - Shoplifitng","Theft"
"98",480,-78.47208,38.023297,"2020-02-11","Basketball","Notre Dame",FALSE,TRUE,"Animal Complaint","Animal-related"
"99",481,-78.48045,38.026588,"2020-02-11","Basketball","Notre Dame",FALSE,TRUE,"Suspicious Activity","Disorderly Conduct"
"100",482,-78.504687,38.024317,"2020-02-11","Basketball","Notre Dame",FALSE,TRUE,"Hit and Run","Vehicle Accident"
"101",483,-78.481848,38.030482,"2020-02-11","Basketball","Notre Dame",FALSE,TRUE,"Assault Simple","Threat and/or Assault"
"102",501,-78.454841,38.026902,"2020-02-08","Basketball","Louisville",TRUE,FALSE,"Assault Aggravated","Threat and/or Assault"
"103",502,-78.469881,38.046044,"2020-02-08","Basketball","Louisville",TRUE,FALSE,"Driving Under the Influence","Substance Abuse"
"104",503,-78.497323,38.035783,"2020-02-08","Basketball","Louisville",TRUE,FALSE,"Assist Citizen - Mental/TDO/ECO","Non-criminal report"
"105",504,-78.494229,38.033911,"2020-02-08","Basketball","Louisville",TRUE,FALSE,"Vandalism","Disorderly Conduct"
"106",505,-78.50005,38.014495,"2020-02-08","Basketball","Louisville",TRUE,FALSE,"Fraud-credit card","Fraud"
"107",506,-78.499043,38.052715,"2020-02-08","Basketball","Louisville",TRUE,FALSE,"Larceny - Shoplifitng","Theft"
"108",507,-78.481145,38.031682,"2020-02-08","Basketball","Louisville",TRUE,FALSE,"Larceny - Theft from Building","Theft"
"109",508,-78.488354,38.01793,"2020-02-08","Basketball","Louisville",TRUE,FALSE,"Hit and Run","Vehicle Accident"
"110",509,-78.486204,38.019593,"2020-02-08","Basketball","Louisville",TRUE,FALSE,"Hit and Run","Vehicle Accident"
"111",510,-78.477549,38.030267,"2020-02-08","Basketball","Louisville",TRUE,FALSE,"Misc - Criminal Call","Other"
"112",511,-78.488496,38.030966,"2020-02-08","Basketball","Louisville",TRUE,FALSE,"Vandalism","Disorderly Conduct"
"113",512,-78.495935,38.033001,"2020-02-08","Basketball","Louisville",TRUE,FALSE,"Larceny - All Other","Theft"
"114",538,-78.49774,38.025502,"2020-02-05","Basketball","Clemson",FALSE,TRUE,"Assault Aggravated","Threat and/or Assault"
"115",539,-78.476031,38.02958,"2020-02-05","Basketball","Clemson",FALSE,TRUE,"Hit and Run","Vehicle Accident"
"116",540,-78.475337,38.03394,"2020-02-05","Basketball","Clemson",FALSE,TRUE,"Missing Person-juvenile","Non-criminal report"
"117",541,-78.494142,38.06198,"2020-02-05","Basketball","Clemson",FALSE,TRUE,"Domestic Disturbance","Disorderly Conduct"
"118",542,-78.48045,38.026588,"2020-02-05","Basketball","Clemson",FALSE,TRUE,"Assault Simple","Threat and/or Assault"
"119",543,-78.491575,38.027807,"2020-02-05","Basketball","Clemson",FALSE,TRUE,"Larceny - Shoplifitng","Theft"
"120",544,-78.477549,38.030267,"2020-02-05","Basketball","Clemson",FALSE,TRUE,"Suspicious Person","Disorderly Conduct"
"121",545,-78.5002,38.051498,"2020-02-05","Basketball","Clemson",FALSE,TRUE,"Larceny - Purse Snatching","Theft"
"122",546,-78.480554,38.02935,"2020-02-05","Basketball","Clemson",FALSE,TRUE,"Vandalism","Disorderly Conduct"
"123",547,-78.47547,38.017307,"2020-02-05","Basketball","Clemson",FALSE,TRUE,"Suspicious Activity","Disorderly Conduct"
"124",548,-78.487098,38.021191,"2020-02-05","Basketball","Clemson",FALSE,TRUE,"Fraud-false pretense","Fraud"
"125",549,-78.475702,38.052489,"2020-02-05","Basketball","Clemson",FALSE,TRUE,"Assault Simple","Threat and/or Assault"
"126",550,-78.495376,38.024675,"2020-02-05","Basketball","Clemson",FALSE,TRUE,"Fraud-false pretense","Fraud"
"127",551,-78.475702,38.052489,"2020-02-05","Basketball","Clemson",FALSE,TRUE,"Liquor Law Violation","Substance Abuse"
"128",552,-78.511905,38.042471,"2020-02-05","Basketball","Clemson",FALSE,TRUE,"Fraud-false pretense","Fraud"
"129",649,-78.482066,38.031667,"2020-01-28","Basketball","Florida State",FALSE,TRUE,"Drunkeness DIP","Substance Abuse"
"130",650,-78.48045,38.026588,"2020-01-28","Basketball","Florida State",FALSE,TRUE,"Hit and Run","Vehicle Accident"
"131",651,-78.478169,38.032287,"2020-01-28","Basketball","Florida State",FALSE,TRUE,"Animal - Bite","Animal-related"
"132",652,-78.503011,38.048623,"2020-01-28","Basketball","Florida State",FALSE,TRUE,"Hit and Run","Vehicle Accident"
"133",653,-78.46969,38.017745,"2020-01-28","Basketball","Florida State",FALSE,TRUE,"Disorderly Conduct","Disorderly Conduct"
"134",654,-78.492224,38.060855,"2020-01-28","Basketball","Florida State",FALSE,TRUE,"Fraud-credit card","Fraud"
