Addresses,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"1200 WERTLAND ST, Charlottesville, VA",38.034171,-78.496505,1,rooftop,1200,"Wertland St",,,Charlottesville,VA,"Albemarle County",22903,US,"Virginia Geographic Information Network (VGIN)"
"1300 W MAIN ST, Charlottesville, VA",38.033404,-78.49779,1,range_interpolation,1300,"Main St W",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"1500 ROSE HILL DR, Charlottesville, VA",38.048605,-78.483245,1,range_interpolation,1500,"Rose Hill Dr",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"1200 EMMET ST, Charlottesville, VA",38.052819,-78.498406,0.9,rooftop,1200,"Emmet St N",,,Charlottesville,VA,"Albemarle County",22903,US,"City of Charlottesville"
"2500 JEFFERSON PARK AVE, Charlottesville, VA",38.020243,-78.514161,1,rooftop,2500,"Jefferson Park Ave",,,Charlottesville,VA,"Albemarle County",22903,US,"City of Charlottesville"
"2500 HILLWOOD PL, Charlottesville, VA",38.065801,-78.472363,1,rooftop,2500,"Hillwood Pl",,,Charlottesville,VA,"Albemarle County",22901,US,"City of Charlottesville"
"800 W MAIN ST, Charlottesville, VA",38.031848,-78.490814,1,range_interpolation,800,"W Main St",,,Charlottesville,VA,"Albemarle County",22903,US,"TIGER/Line® dataset from the US Census Bureau"
"500 CHERRY AVE, Charlottesville, VA",38.02629,-78.491051,1,rooftop,500,"Cherry Ave",,,Charlottesville,VA,"Albemarle County",22903,US,"City of Charlottesville"
"1100 5TH ST SW, Charlottesville, VA",38.014495,-78.50005,1,range_interpolation,1100,"5th St SW",,,Charlottesville,VA,"Albemarle County",22902,US,"TIGER/Line® dataset from the US Census Bureau"
"900 NASSAU ST, Charlottesville, VA",38.01721,-78.468552,1,range_interpolation,900,"Nassau St",,,Charlottesville,VA,"Albemarle County",22902,US,"TIGER/Line® dataset from the US Census Bureau"
