RecordID,FeeAmount,RabiesExpirationDate,StreetName,TagNumber,TagType,TagYear,BlockNumber
8656,12,2019-04-01T00:00:00.000Z,CAMELLIA DR ,36841,Unsexed - 3 Year         ,2015,300
8657,12,2015-12-14T00:00:00.000Z,MICHIE DR ,36842,Unsexed - 3 Year         ,2015,2100
8658,30,2019-02-26T00:00:00.000Z,WILDER DR ,36843,Sexed - 3 Year           ,2015,600
8659,12,2015-03-26T00:00:00.000Z,WILDER DR ,36844,Unsexed - 3 Year         ,2015,600
8660,12,2019-01-07T00:00:00.000Z,ROTHERY RD ,36845,Unsexed - 3 Year         ,2015,100
8661,12,2016-09-26T00:00:00.000Z,RIVERSIDE AVE ,36846,Unsexed - 3 Year         ,2015,300
8662,12,2015-01-02T00:00:00.000Z,ROSSER LN ,36848,Unsexed - 3 Year         ,2015,900
8663,12,2017-05-15T00:00:00.000Z,MARTIN ST ,36849,Unsexed - 3 Year         ,2015,1000
8664,12,2018-11-24T00:00:00.000Z,RIDGE ST ,36850,Unsexed - 3 Year         ,2015,700
8665,12,2015-05-11T00:00:00.000Z,NORTH BAKER ST ,36851,Unsexed - 3 Year         ,2015,100
8666,12,2018-12-17T00:00:00.000Z,ROCK CREEK RD ,36852,Unsexed - 3 Year         ,2015,800
8667,12,2016-08-13T00:00:00.000Z,LIDE PL ,36853,Unsexed - 3 Year         ,2015,100
8668,12,2016-08-13T00:00:00.000Z,LIDE PL ,36854,Unsexed - 3 Year         ,2015,100
8669,12,2018-11-14T00:00:00.000Z,KENWOOD LN ,36855,Unsexed - 3 Year         ,2015,1500
8670,12,2019-04-01T00:00:00.000Z,LYONS AVE ,36856,Unsexed - 3 Year         ,2015,600
8671,12,2016-07-01T00:00:00.000Z,CHESAPEAKE ST ,36857,Unsexed - 3 Year         ,2015,1300
8672,12,2019-01-21T00:00:00.000Z,13TH ST NE ,36858,Unsexed - 3 Year         ,2015,300
8673,12,2016-03-26T00:00:00.000Z,WALKER SQ ,36860,Unsexed - 3 Year         ,2015,700
8674,12,2016-04-05T00:00:00.000Z,ST CHARLES CT ,36861,Unsexed - 3 Year         ,2015,1100
8675,12,2016-03-08T00:00:00.000Z,CHISHOLM PL ,36862,Unsexed - 3 Year         ,2015,100
8676,12,2019-01-18T00:00:00.000Z,BRANDYWINE DR ,36863,Unsexed - 3 Year         ,2015,1600
8677,12,2016-07-28T00:00:00.000Z,HUNTLEY AVE ,36864,Unsexed - 3 Year         ,2015,200
8678,12,2016-03-05T00:00:00.000Z,COTTONWOOD RD ,36866,Unsexed - 3 Year         ,2015,1100
8679,1,2019-04-01T00:00:00.000Z,ROBERTSON AVE ,36867,Replacement              ,2013,200
8680,12,2016-04-02T00:00:00.000Z,ST ANNES RD ,36878,Unsexed - 3 Year         ,2015,100
8681,12,2019-01-14T00:00:00.000Z,BANBURY ST ,36895,Unsexed - 3 Year         ,2015,2300
8682,12,2016-06-25T00:00:00.000Z,LOCUST AVE ,36896,Unsexed - 3 Year         ,2015,800
8683,12,2015-12-17T00:00:00.000Z,ST CLAIR AVE ,36897,Unsexed - 3 Year         ,2015,1100
8684,12,2015-09-11T00:00:00.000Z,RAINIER RD ,36899,Unsexed - 3 Year         ,2015,800
8685,1,2022-02-02T00:00:00.000Z,RIVES ST ,36900,Replacement              ,2013,900
8686,4,2014-06-21T00:00:00.000Z,NORTH BERKSHIRE RD ,36912,Unsexed - 1 Year         ,2013,2300
8687,12,2018-07-30T00:00:00.000Z,LEIGH PL ,36959,Unsexed - 3 Year         ,2015,100
8688,12,2018-07-07T00:00:00.000Z,MONTE VISTA AVE ,37001,Unsexed - 3 Year         ,2015,200
8689,12,2021-05-07T00:00:00.000Z,ST CHARLES CT ,37002,Unsexed - 3 Year         ,2015,1100
8690,12,2018-01-21T00:00:00.000Z,5TH ST SW ,37003,Unsexed - 3 Year         ,2015,300
8691,12,2016-07-21T00:00:00.000Z,BAYLOR LN ,37004,Unsexed - 3 Year         ,2015,100
8692,12,2014-11-23T00:00:00.000Z,LEWIS MOUNTAIN RD ,37084,Unsexed - 3 Year         ,2015,1900
8693,12,2019-02-05T00:00:00.000Z,MICHAEL PL ,37085,Unsexed - 3 Year         ,2015,1900
8694,12,2017-10-08T00:00:00.000Z,RUGBY RD ,37086,Unsexed - 3 Year         ,2015,900
8695,12,2015-10-08T00:00:00.000Z,BANBURY ST ,37087,Unsexed - 3 Year         ,2015,2200
8696,12,2018-08-15T00:00:00.000Z,11TH ST NW ,37088,Unsexed - 3 Year         ,2015,300
8697,12,2018-06-08T00:00:00.000Z,EDGEWOOD LN ,37089,Unsexed - 3 Year         ,2015,1800
8698,12,2021-05-08T00:00:00.000Z,GROVE RD ,37090,Unsexed - 3 Year         ,2015,1400
8699,12,2021-08-29T00:00:00.000Z,DAIRY RD ,37091,Unsexed - 3 Year         ,2015,1500
8700,12,2017-06-11T00:00:00.000Z,PALATINE AVE ,37092,Unsexed - 3 Year         ,2015,200
8701,12,2014-09-13T00:00:00.000Z,ALTAVISTA AVE ,37093,Unsexed - 3 Year         ,2015,900
8702,12,2015-07-12T00:00:00.000Z,MADISON AVE ,37094,Unsexed - 3 Year         ,2015,700
