"","Longitude","Latitude","event_date","sport","Opponent","home","win","crime_type"
"410","-78.496417","38.042215","2020-02-15","Basketball","UNC","TRUE","TRUE","Shots Fired/Illegal Hunting"
"411","-78.490814","38.031848","2020-02-15","Basketball","UNC","TRUE","TRUE","Hit and Run"
"412","-78.5015","38.055196","2020-02-15","Basketball","UNC","TRUE","TRUE","Death Investigation - DOA"
"413","-78.50005","38.014495","2020-02-15","Basketball","UNC","TRUE","TRUE","Accident w/Injuries"
"414","-78.492224","38.060855","2020-02-15","Basketball","UNC","TRUE","TRUE","Larceny - From Motor Vehicle"
"415","-78.478432","38.029691","2020-02-15","Basketball","UNC","TRUE","TRUE","Vandalism"
"472","-78.493817","38.035177","2020-02-11","Basketball","Notre Dame","FALSE","TRUE","Shots Fired/Illegal Hunting"
"473","-78.482695","38.030748","2020-02-11","Basketball","Notre Dame","FALSE","TRUE","Suspicious Activity"
"474","-78.507397","38.03177","2020-02-11","Basketball","Notre Dame","FALSE","TRUE","Accident w/Injuries"
"475","-78.494399","38.024646","2020-02-11","Basketball","Notre Dame","FALSE","TRUE","Traffic Stops"
"476","-78.48225","38.065057","2020-02-11","Basketball","Notre Dame","FALSE","TRUE","Assist Citizen - Mental/TDO/ECO"
"477","-78.500062","38.034497","2020-02-11","Basketball","Notre Dame","FALSE","TRUE","Hit and Run"
"478","-78.515449","38.037687","2020-02-11","Basketball","Notre Dame","FALSE","TRUE","Comm Relations Initiative - CRI"
"479","-78.50005","38.014495","2020-02-11","Basketball","Notre Dame","FALSE","TRUE","Larceny - Shoplifitng"
"480","-78.47208","38.023297","2020-02-11","Basketball","Notre Dame","FALSE","TRUE","Animal Complaint"
"481","-78.48045","38.026588","2020-02-11","Basketball","Notre Dame","FALSE","TRUE","Suspicious Activity"
"482","-78.504687","38.024317","2020-02-11","Basketball","Notre Dame","FALSE","TRUE","Hit and Run"
"483","-78.481848","38.030482","2020-02-11","Basketball","Notre Dame","FALSE","TRUE","Assault Simple"
"501","-78.454841","38.026902","2020-02-08","Basketball","Louisville","TRUE","FALSE","Assault Aggravated"
"502","-78.469881","38.046044","2020-02-08","Basketball","Louisville","TRUE","FALSE","Driving Under the Influence"
"503","-78.497323","38.035783","2020-02-08","Basketball","Louisville","TRUE","FALSE","Assist Citizen - Mental/TDO/ECO"
"504","-78.494229","38.033911","2020-02-08","Basketball","Louisville","TRUE","FALSE","Vandalism"
"505","-78.50005","38.014495","2020-02-08","Basketball","Louisville","TRUE","FALSE","Fraud-credit card"
"506","-78.499043","38.052715","2020-02-08","Basketball","Louisville","TRUE","FALSE","Larceny - Shoplifitng"
"507","-78.481145","38.031682","2020-02-08","Basketball","Louisville","TRUE","FALSE","Larceny - Theft from Building"
"508","-78.488354","38.01793","2020-02-08","Basketball","Louisville","TRUE","FALSE","Hit and Run"
"509","-78.486204","38.019593","2020-02-08","Basketball","Louisville","TRUE","FALSE","Hit and Run"
"510","-78.477549","38.030267","2020-02-08","Basketball","Louisville","TRUE","FALSE","Misc - Criminal Call"
"511","-78.488496","38.030966","2020-02-08","Basketball","Louisville","TRUE","FALSE","Vandalism"
"512","-78.495935","38.033001","2020-02-08","Basketball","Louisville","TRUE","FALSE","Larceny - All Other"
"538","-78.49774","38.025502","2020-02-05","Basketball","Clemson","FALSE","TRUE","Assault Aggravated"
"539","-78.476031","38.02958","2020-02-05","Basketball","Clemson","FALSE","TRUE","Hit and Run"
"540","-78.475337","38.03394","2020-02-05","Basketball","Clemson","FALSE","TRUE","Missing Person-juvenile"
"541","-78.494142","38.06198","2020-02-05","Basketball","Clemson","FALSE","TRUE","Domestic Disturbance"
"542","-78.48045","38.026588","2020-02-05","Basketball","Clemson","FALSE","TRUE","Assault Simple"
"543","-78.491575","38.027807","2020-02-05","Basketball","Clemson","FALSE","TRUE","Larceny - Shoplifitng"
"544","-78.477549","38.030267","2020-02-05","Basketball","Clemson","FALSE","TRUE","Suspicious Person"
"545","-78.5002","38.051498","2020-02-05","Basketball","Clemson","FALSE","TRUE","Larceny - Purse Snatching"
"546","-78.480554","38.02935","2020-02-05","Basketball","Clemson","FALSE","TRUE","Vandalism"
"547","-78.47547","38.017307","2020-02-05","Basketball","Clemson","FALSE","TRUE","Suspicious Activity"
"548","-78.487098","38.021191","2020-02-05","Basketball","Clemson","FALSE","TRUE","Fraud-false pretense"
"549","-78.475702","38.052489","2020-02-05","Basketball","Clemson","FALSE","TRUE","Assault Simple"
"550","-78.495376","38.024675","2020-02-05","Basketball","Clemson","FALSE","TRUE","Fraud-false pretense"
"551","-78.475702","38.052489","2020-02-05","Basketball","Clemson","FALSE","TRUE","Liquor Law Violation"
"552","-78.511905","38.042471","2020-02-05","Basketball","Clemson","FALSE","TRUE","Fraud-false pretense"
"649","-78.482066","38.031667","2020-01-28","Basketball","Florida State","FALSE","TRUE","Drunkeness DIP"
"650","-78.48045","38.026588","2020-01-28","Basketball","Florida State","FALSE","TRUE","Hit and Run"
"651","-78.478169","38.032287","2020-01-28","Basketball","Florida State","FALSE","TRUE","Animal - Bite"
"652","-78.503011","38.048623","2020-01-28","Basketball","Florida State","FALSE","TRUE","Hit and Run"
"653","-78.46969","38.017745","2020-01-28","Basketball","Florida State","FALSE","TRUE","Disorderly Conduct"
"654","-78.492224","38.060855","2020-01-28","Basketball","Florida State","FALSE","TRUE","Fraud-credit card"
"655","-78.490814","38.031848","2020-01-28","Basketball","Florida State","FALSE","TRUE","Domestic Disturbance"
"656","-78.496505","38.034171","2020-01-28","Basketball","Florida State","FALSE","TRUE","Fraud-false pretense"
"657","-78.480746","38.030391","2020-01-28","Basketball","Florida State","FALSE","TRUE","Larceny - Shoplifitng"
