"","Latitude","Longitude"
"200",38.058532,-78.488855
"201",38.030788,-78.487892
"202",38.051498,-78.5002
"203",38.024646,-78.494399
"204",38.030358,-78.478079
"205",38.024329,-78.518797
"206",38.024646,-78.494399
"207",38.064994,-78.486363
"208",38.065924,-78.475782
"209",38.048623,-78.503011
"210",38.026588,-78.48045
"211",38.017307,-78.47547
"212",38.022908,-78.485672
"213",38.033559,-78.490241
"214",38.030475,-78.488002
"215",38.031848,-78.490814
"216",38.064994,-78.486363
"217",38.024646,-78.494399
"218",38.055056,-78.486295
"219",38.047832,-78.504303
"220",38.045976,-78.460828
"221",38.057817,-78.493732
"222",38.031987,-78.49551
"223",38.058532,-78.488855
"224",38.035213,-78.481274
"225",38.035177,-78.493817
"226",38.02338,-78.468643
"227",38.035846,-78.50148
"228",38.044824,-78.480235
"229",38.051498,-78.5002
"230",38.035166,-78.461418
"231",38.02694,-78.502153
"232",38.031294,-78.484883
"233",38.031221,-78.482987
"234",38.012121,-78.512626
"235",38.020085,-78.465966
"236",38.014495,-78.50005
"237",38.040259,-78.501247
"238",38.02353,-78.461439
"239",38.043043,-78.466487
"240",38.030035,-78.494688
"241",38.034988,-78.500296
"242",38.051498,-78.5002
"243",38.029803,-78.479272
"244",38.048623,-78.503011
"245",38.033577,-78.485453
"246",38.026588,-78.48045
"247",38.031221,-78.482987
"248",38.030391,-78.480746
"249",38.031758,-78.481893
"250",38.021191,-78.487098
"251",38.028707,-78.518293
"252",38.031682,-78.481145
"253",38.032453,-78.475436
"254",38.055196,-78.5015
"255",38.062023,-78.469685
"256",38.060855,-78.492224
"257",38.036062,-78.479766
"258",38.060222,-78.490328
"259",38.01789,-78.495359
"260",38.034665,-78.48799
"261",38.026588,-78.48045
"262",38.042471,-78.511905
"263",38.005309,-78.494102
"264",38.031848,-78.490814
"265",38.030788,-78.487892
"266",38.052489,-78.475702
"267",38.030234,-78.508221
"268",38.060071,-78.479574
"269",38.037068,-78.486978
"270",38.030966,-78.488496
"271",38.026588,-78.48045
"272",38.030788,-78.487892
"273",38.035846,-78.50148
"274",38.030923,-78.481507
"275",38.038754,-78.485701
"276",38.026588,-78.48045
"277",38.031848,-78.490814
"278",38.031845,-78.487904
"279",38.033951,-78.49996
"280",38.021191,-78.487098
"281",38.064994,-78.486363
"282",38.064994,-78.486363
"283",38.030748,-78.482695
"284",38.02649,-78.484062
"285",38.052489,-78.475702
"286",38.025787,-78.460746
"287",38.014946,-78.503703
"288",38.027754,-78.481638
"289",38.027754,-78.481638
"290",38.022563,-78.478076
"291",38.057707,-78.487433
"292",38.042593,-78.460131
"293",38.023122,-78.473462
"294",38.030748,-78.482695
"295",38.021234,-78.493889
"296",38.030788,-78.487892
"297",38.032645,-78.496684
"298",38.045382,-78.477166
"299",38.030267,-78.477549
"300",38.030482,-78.481848
"301",38.02393,-78.487254
"302",38.024104,-78.477024
"303",38.022736,-78.473958
"304",38.018683,-78.484921
"305",38.047248,-78.487064
"306",38.019141,-78.49392
"307",38.031799,-78.494644
"308",38.026588,-78.48045
"309",38.028589,-78.481736
"310",38.014407,-78.470484
"311",38.01879,-78.500146
"312",38.039578,-78.494309
"313",38.048623,-78.503011
"314",38.026902,-78.454841
"315",38.035783,-78.497323
"316",38.039966,-78.506381
"317",38.044824,-78.480235
"318",38.030267,-78.477549
"319",38.036158,-78.499392
"320",38.025595,-78.516645
"321",38.014495,-78.50005
"322",38.031779,-78.476942
"323",38.065057,-78.48225
"324",38.033559,-78.490241
"325",38.027964,-78.486163
"326",38.059769,-78.493071
"327",38.096671,-78.462462
"328",38.036242,-78.502401
"329",38.034938,-78.486011
"330",38.030788,-78.487892
"331",38.022432,-78.469845
"332",38.018098,-78.477234
"333",38.034988,-78.500296
"334",38.029765,-78.485528
"335",38.036242,-78.502401
"336",38.018706,-78.513221
"337",38.029765,-78.485528
"338",38.030473,-78.486581
"339",38.026588,-78.48045
"340",38.038224,-78.462871
"341",38.029765,-78.485528
"342",38.030482,-78.481848
"343",38.035783,-78.497323
"344",38.021523,-78.497497
"345",38.031799,-78.494644
"346",38.06034,-78.496723
"347",38.026076,-78.515987
"348",38.042362,-78.456287
"349",38.063429,-78.490567
"350",38.066776,-78.49006
"351",38.052849,-78.48642
"352",38.052489,-78.475702
"353",38.035521,-78.495052
"354",38.030267,-78.477549
"355",38.030788,-78.487892
"356",38.022563,-78.478076
"357",38.03245,-78.494766
"358",38.020609,-78.471104
"359",38.026588,-78.48045
"360",38.030391,-78.480746
"361",38.039186,-78.491586
"362",38.060855,-78.492224
"363",38.034122,-78.499326
"364",38.013946,-78.510844
"365",38.02842,-78.514475
"366",38.031848,-78.490814
"367",38.03394,-78.475337
"368",38.030818,-78.505016
"369",38.02387,-78.455313
"370",38.014495,-78.50005
"371",38.024483,-78.472854
"372",38.020411,-78.512573
"373",38.031848,-78.490814
"374",38.02694,-78.502153
"375",38.031952,-78.470674
"376",38.031294,-78.484883
"377",38.048623,-78.503011
"378",38.029288,-78.482396
"379",38.044705,-78.480152
"380",38.024646,-78.494399
"381",38.023547,-78.473137
"382",38.035796,-78.502112
"383",38.030267,-78.477549
"384",38.033951,-78.49996
"385",38.042471,-78.511905
"386",38.023408,-78.471574
"387",38.030391,-78.480746
"388",38.031382,-78.481145
"389",38.024044,-78.458912
"390",38.030267,-78.477549
"391",38.022736,-78.473958
"392",38.039186,-78.491586
"393",38.035783,-78.497323
"394",38.026588,-78.48045
"395",38.024675,-78.495376
"396",38.035783,-78.497323
"397",38.03813,-78.494226
"398",38.036958,-78.474601
"399",38.029265,-78.513082
"400",38.029288,-78.482396
"401",38.035177,-78.493817
"402",38.023804,-78.462147
"403",38.042471,-78.511905
"404",38.055785,-78.496363
"405",38.022908,-78.485672
"406",38.022211,-78.491258
"407",38.022211,-78.491258
"408",38.023547,-78.473137
"409",38.022987,-78.491948
"410",38.042215,-78.496417
"411",38.031848,-78.490814
"412",38.055196,-78.5015
"413",38.014495,-78.50005
"414",38.060855,-78.492224
"415",38.029691,-78.478432
"416",38.026588,-78.48045
"417",38.030267,-78.477549
"418",38.034035,-78.495713
"419",38.026722,-78.497519
"420",38.055852,-78.483767
"421",38.035916,-78.498522
"422",38.019814,-78.486029
"423",38.047832,-78.504303
"424",38.033577,-78.485453
"425",38.028772,-78.477348
"426",38.014946,-78.503703
"427",38.042693,-78.465159
"428",38.017288,-78.512673
"429",38.023462,-78.50499
"430",38.026588,-78.48045
"431",38.027754,-78.481638
"432",38.026588,-78.48045
"433",38.017903,-78.48365
"434",38.019358,-78.472299
"435",38.033559,-78.490241
"436",38.051498,-78.5002
"437",38.037955,-78.497624
"438",38.039966,-78.506381
"439",38.027131,-78.516331
"440",38.035319,-78.4627
"441",38.041804,-78.499982
"442",38.051498,-78.5002
"443",38.041622,-78.465175
"444",38.035696,-78.494993
"445",38.034938,-78.486011
"446",38.026961,-78.516628
"447",38.029641,-78.490293
"448",38.065057,-78.48225
"449",38.034988,-78.500296
"450",38.029288,-78.482396
"451",38.038053,-78.498689
"452",38.021191,-78.487098
"453",38.03264,-78.484434
"454",38.03394,-78.475337
"455",38.014495,-78.50005
"456",38.032053,-78.46528
"457",38.052819,-78.498406
"458",38.030267,-78.477549
"459",38.030267,-78.477549
"460",38.028954,-78.488911
"461",38.024489,-78.480922
"462",38.031911,-78.480066
"463",38.046235,-78.462147
"464",38.020288,-78.464352
"465",38.029765,-78.485528
"466",38.020478,-78.467982
"467",38.045716,-78.488485
"468",38.026722,-78.497519
"469",38.014495,-78.50005
"470",38.048623,-78.503011
"471",38.030267,-78.477549
"472",38.035177,-78.493817
"473",38.030748,-78.482695
"474",38.03177,-78.507397
"475",38.024646,-78.494399
"476",38.065057,-78.48225
"477",38.034497,-78.500062
"478",38.037687,-78.515449
"479",38.014495,-78.50005
"480",38.023297,-78.47208
"481",38.026588,-78.48045
"482",38.024317,-78.504687
"483",38.030482,-78.481848
"484",38.027754,-78.481638
"485",38.040658,-78.471318
"486",38.060894,-78.49691
"487",38.033559,-78.490241
"488",38.029288,-78.482396
"489",38.024109,-78.503133
"490",38.038754,-78.485701
"491",38.020689,-78.494558
"492",38.028282,-78.489446
"493",38.024915,-78.476461
"494",38.0358,-78.48633
"495",38.012121,-78.512626
"496",38.065057,-78.48225
"497",38.030788,-78.487892
"498",38.026588,-78.48045
"499",38.058532,-78.488855
"500",38.024116,-78.481209
"501",38.026902,-78.454841
"502",38.046044,-78.469881
"503",38.035783,-78.497323
"504",38.033911,-78.494229
"505",38.014495,-78.50005
"506",38.052715,-78.499043
"507",38.031682,-78.481145
"508",38.01793,-78.488354
"509",38.019593,-78.486204
"510",38.030267,-78.477549
"511",38.030966,-78.488496
"512",38.033001,-78.495935
"513",38.031848,-78.490814
"514",38.030748,-78.482695
"515",38.030675,-78.478873
"516",38.048623,-78.503011
"517",38.018886,-78.492384
"518",38.019358,-78.472299
"519",38.052489,-78.475702
"520",38.018098,-78.477234
"521",38.030748,-78.482695
"522",38.065057,-78.48225
"523",38.02495,-78.520612
"524",38.049485,-78.506608
"525",38.034988,-78.500296
"526",38.027754,-78.481638
"527",38.02188,-78.480831
"528",38.038632,-78.456902
"529",38.023547,-78.473137
"530",38.032749,-78.494765
"531",38.034122,-78.499326
"532",38.030966,-78.488496
"533",38.026861,-78.501611
"534",38.065629,-78.488112
"535",38.026588,-78.48045
"536",38.022908,-78.485672
"537",38.029579,-78.492588
"538",38.025502,-78.49774
"539",38.02958,-78.476031
"540",38.03394,-78.475337
"541",38.06198,-78.494142
"542",38.026588,-78.48045
"543",38.027807,-78.491575
"544",38.030267,-78.477549
"545",38.051498,-78.5002
"546",38.02935,-78.480554
"547",38.017307,-78.47547
"548",38.021191,-78.487098
"549",38.052489,-78.475702
"550",38.024675,-78.495376
"551",38.052489,-78.475702
"552",38.042471,-78.511905
"553",38.01801,-78.47932
"554",38.026588,-78.48045
"555",38.042215,-78.496417
"556",38.030267,-78.477549
"557",38.032453,-78.475436
"558",38.052715,-78.499043
"559",38.023297,-78.47208
"560",38.03877,-78.49157
"561",38.027754,-78.481638
"562",38.065057,-78.48225
"563",38.029267,-78.476974
"564",38.052489,-78.475702
"565",38.026588,-78.48045
"566",38.023971,-78.506828
"567",38.05877,-78.487974
"568",38.017288,-78.512673
"569",38.026588,-78.48045
"570",38.036555,-78.460315
"571",38.030167,-78.485534
"572",38.021234,-78.493889
"573",38.041436,-78.499349
"574",38.030267,-78.477549
"575",38.029691,-78.478432
"576",38.030267,-78.477549
"577",38.018797,-78.476646
"578",38.030391,-78.480746
"579",38.021191,-78.487098
"580",38.02958,-78.476031
"581",38.0342,-78.490023
"582",38.029931,-78.48003
"583",38.03264,-78.484434
"584",38.052819,-78.498406
"585",38.039816,-78.49879
"586",38.042033,-78.491926
"587",38.042033,-78.491926
"588",38.033911,-78.494229
"589",38.02611,-78.513611
"590",38.040536,-78.49772
"591",38.03928,-78.496473
"592",38.034988,-78.500296
"593",38.019645,-78.46853
"594",38.035166,-78.461418
"595",38.039136,-78.49401
